ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10400515100760001,9/10/2023,9/11/2023 8:35,8:15,8:30,0.652,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,8:30,8:45,0.37,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,8:45,9:00,0.79,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,9:00,9:15,0.319,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,9:15,9:30,0.61,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,9:30,9:45,0.304,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,9:45,10:00,0.327,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,10:00,10:15,0.305,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,10:15,10:30,0.318,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,10:30,10:45,0.395,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,10:45,11:00,0.691,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,11:00,11:15,0.381,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,11:15,11:30,0.706,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,11:30,11:45,1.63,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,11:45,12:00,2.038,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,12:00,12:15,1.807,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,12:15,12:30,0.885,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,12:30,12:45,0.347,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,12:45,13:00,0.681,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,13:00,13:15,0.921,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,13:15,13:30,0.963,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,13:30,13:45,0.968,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,13:45,14:00,1.178,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,14:00,14:15,1.284,A,Consumption
